"Player","Shift Rate (2022)","Estimate_OBP","p_OBP","Estimate_OPS","p_OPS","Estimate_wOBA","p_wOBA"
"Corey Seager","96.5%"," 0.075","0.017"," 0.269","0.017"," 0.089","0.017"
"Joey Gallo","95.6%","-0.001","0.950"," 0.037","0.617"," 0.018","0.550"
"Kyle Tucker","94.5%"," 0.043","0.150"," 0.095","0.217"," 0.038","0.183"
"Yordan Alvarez","92.5%"," 0.015","0.483"," 0.214","0.017"," 0.083","0.017"
"Seth Brown","92.2%","-0.026","0.300","-0.029","0.650","-0.018","0.550"
"Kyle Schwarber","91.9%"," 0.018","0.417"," 0.061","0.433"," 0.026","0.333"
"Max Kepler","91.7%"," 0.023","0.333"," 0.096","0.217"," 0.045","0.117"
"Shohei Ohtani","91.7%"," 0.076","0.017"," 0.241","0.017"," 0.083","0.017"
"Cody Bellinger","91.6%"," 0.041","0.167"," 0.130","0.100"," 0.047","0.117"
"Brandon Lowe","90.6%"," 0.019","0.400"," 0.078","0.350"," 0.033","0.233"
"Anthony Rizzo","90.5%","-0.005","0.767","-0.050","0.483","-0.013","0.667"
"Max Muncy","89.7%"," 0.005","0.783"," 0.004","1.000","-0.005","0.850"
"Eddie Rosario","88.5%"," 0.001","0.967"," 0.001","1.000"," 0.003","0.950"
"Brandon Belt","87.6%"," 0.044","0.133"," 0.115","0.167"," 0.047","0.117"
"Cavan Biggio","86.5%"," 0.015","0.483"," 0.030","0.650"," 0.020","0.500"
"Rowdy Tellez","84.8%","-0.025","0.300","-0.073","0.350","-0.019","0.533"
"Matt Olson","84.5%"," 0.075","0.017"," 0.222","0.017"," 0.085","0.017"
"Josh Naylor","84.2%"," 0.031","0.267"," 0.136","0.083"," 0.047","0.117"
"Mike Yastrzemski","83.5%"," 0.009","0.667"," 0.096","0.217"," 0.035","0.200"
"Eugenio Suárez","83.0%"," 0.002","0.900","-0.078","0.350","-0.024","0.400"
"José Ramírez","81.8%"," 0.058","0.050"," 0.109","0.200"," 0.046","0.117"
"Daniel Vogelbach","81.2%"," 0.001","0.983"," 0.013","0.900","-0.039","0.150"
"Joc Pederson","81.0%"," 0.024","0.317","-0.006","1.000"," 0.001","0.983"
"Byron Buxton","80.4%","-0.022","0.333"," 0.085","0.267"," 0.020","0.517"
"Carlos Santana","80.2%","-0.004","0.800"," 0.028","0.667"," 0.006","0.800"
"Jorge Soler","80.0%"," 0.021","0.333"," 0.081","0.300"," 0.028","0.300"
